instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
2	m4.2xlarge	16	64000	284	2000000	20000000	0.001	382
2	m4.2xlarge	16	64000	284	2000000	20000000	0.001	396
2	m4.2xlarge	16	64000	284	2000000	20000000	0.001	398
2	m4.2xlarge	16	64000	284	2000000	20000000	0.001	398
2	m4.2xlarge	16	64000	284	2000000	20000000	0.001	400
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	246
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	248
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	248
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	248
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	252
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	206
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	208
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	210
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	210
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	210
2	r4.2xlarge	16	122000	131	1000000	10000000	0.001	190
2	r4.2xlarge	16	122000	131	1000000	10000000	0.001	192
2	r4.2xlarge	16	122000	131	1000000	10000000	0.001	192
2	r4.2xlarge	16	122000	131	1000000	10000000	0.001	192
2	r4.2xlarge	16	122000	131	1000000	10000000	0.001	194
2	r4.2xlarge	16	122000	131	1000000	10000000	0.005	152
2	r4.2xlarge	16	122000	131	1000000	10000000	0.005	152
2	r4.2xlarge	16	122000	131	1000000	10000000	0.005	152
2	r4.2xlarge	16	122000	131	1000000	10000000	0.005	154
2	r4.2xlarge	16	122000	131	1000000	10000000	0.005	156
2	r4.2xlarge	16	122000	131	1000000	10000000	0.01	136
2	r4.2xlarge	16	122000	131	1000000	10000000	0.01	136
2	r4.2xlarge	16	122000	131	1000000	10000000	0.01	138
2	r4.2xlarge	16	122000	131	1000000	10000000	0.01	138
2	r4.2xlarge	16	122000	131	1000000	10000000	0.01	140
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0001	364
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0001	366
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0001	370
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0001	370
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0001	370
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	302
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	304
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	304
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	306
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	306
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	274
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	276
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	276
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	276
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	278
2	r4.2xlarge	16	122000	142	2000000	10000000	0.005	212
2	r4.2xlarge	16	122000	142	2000000	10000000	0.005	214
2	r4.2xlarge	16	122000	142	2000000	10000000	0.005	216
2	r4.2xlarge	16	122000	142	2000000	10000000	0.005	216
2	r4.2xlarge	16	122000	142	2000000	10000000	0.005	220
2	r4.2xlarge	16	122000	142	2000000	10000000	0.01	186
2	r4.2xlarge	16	122000	142	2000000	10000000	0.01	186
2	r4.2xlarge	16	122000	142	2000000	10000000	0.01	188
2	r4.2xlarge	16	122000	142	2000000	10000000	0.01	194
2	r4.2xlarge	16	122000	142	2000000	10000000	0.01	220
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0001	402
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0001	406
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0001	408
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0001	408
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0001	410
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0005	334
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0005	338
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0005	338
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0005	338
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0005	340
2	r4.2xlarge	16	122000	145	3000000	10000000	0.001	306
2	r4.2xlarge	16	122000	145	3000000	10000000	0.001	308
2	r4.2xlarge	16	122000	145	3000000	10000000	0.001	310
