instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
2	r4.2xlarge	16	122000	9730	5	100000000	1	214
2	r4.2xlarge	16	122000	9730	5	100000000	1	214
2	r4.2xlarge	16	122000	9730	5	100000000	1	216
2	r4.2xlarge	16	122000	9730	5	100000000	1	216
2	r4.2xlarge	16	122000	9730	5	100000000	1	218
2	r4.2xlarge	16	122000	9730	5	100000000	25	316
2	r4.2xlarge	16	122000	9730	5	100000000	25	316
2	r4.2xlarge	16	122000	9730	5	100000000	25	316
2	r4.2xlarge	16	122000	9730	5	100000000	25	318
2	r4.2xlarge	16	122000	9730	5	100000000	25	320
2	r4.2xlarge	16	122000	9730	5	100000000	50	410
2	r4.2xlarge	16	122000	9730	5	100000000	50	410
2	r4.2xlarge	16	122000	9730	5	100000000	50	412
2	r4.2xlarge	16	122000	9730	5	100000000	50	412
2	r4.2xlarge	16	122000	9730	5	100000000	50	412
2	r4.2xlarge	16	122000	9730	5	100000000	100	408
2	r4.2xlarge	16	122000	9730	5	100000000	100	410
2	r4.2xlarge	16	122000	9730	5	100000000	100	410
2	r4.2xlarge	16	122000	9730	5	100000000	100	410
2	r4.2xlarge	16	122000	9730	5	100000000	100	410
2	r4.2xlarge	16	122000	14540	5	150000000	1	298
2	r4.2xlarge	16	122000	14540	5	150000000	1	298
2	r4.2xlarge	16	122000	14540	5	150000000	1	300
2	r4.2xlarge	16	122000	14540	5	150000000	1	300
2	r4.2xlarge	16	122000	14540	5	150000000	1	300
2	r4.2xlarge	16	122000	14540	5	150000000	25	446
2	r4.2xlarge	16	122000	14540	5	150000000	25	450
2	r4.2xlarge	16	122000	14540	5	150000000	25	450
2	r4.2xlarge	16	122000	14540	5	150000000	25	452
2	r4.2xlarge	16	122000	14540	5	150000000	25	456
2	r4.2xlarge	16	122000	14540	5	150000000	50	588
2	r4.2xlarge	16	122000	14540	5	150000000	50	590
2	r4.2xlarge	16	122000	14540	5	150000000	50	592
2	r4.2xlarge	16	122000	14540	5	150000000	50	596
2	r4.2xlarge	16	122000	14540	5	150000000	50	596
2	r4.2xlarge	16	122000	14540	5	150000000	100	590
2	r4.2xlarge	16	122000	14540	5	150000000	100	592
2	r4.2xlarge	16	122000	14540	5	150000000	100	592
2	r4.2xlarge	16	122000	14540	5	150000000	100	594
2	r4.2xlarge	16	122000	14540	5	150000000	100	596
2	r4.2xlarge	16	122000	19353	5	200000000	1	376
2	r4.2xlarge	16	122000	19353	5	200000000	1	378
2	r4.2xlarge	16	122000	19353	5	200000000	1	378
2	r4.2xlarge	16	122000	19353	5	200000000	1	380
2	r4.2xlarge	16	122000	19353	5	200000000	1	380
2	r4.2xlarge	16	122000	19353	5	200000000	25	574
2	r4.2xlarge	16	122000	19353	5	200000000	25	576
2	r4.2xlarge	16	122000	19353	5	200000000	25	578
2	r4.2xlarge	16	122000	19353	5	200000000	25	578
2	r4.2xlarge	16	122000	19353	5	200000000	25	578
2	r4.2xlarge	16	122000	19353	5	200000000	50	768
2	r4.2xlarge	16	122000	19353	5	200000000	50	770
2	r4.2xlarge	16	122000	19353	5	200000000	50	770
2	r4.2xlarge	16	122000	19353	5	200000000	50	776
2	r4.2xlarge	16	122000	19353	5	200000000	50	780
2	r4.2xlarge	16	122000	19353	5	200000000	100	770
2	r4.2xlarge	16	122000	19353	5	200000000	100	772
2	r4.2xlarge	16	122000	19353	5	200000000	100	772
2	r4.2xlarge	16	122000	19353	5	200000000	100	774
2	r4.2xlarge	16	122000	19353	5	200000000	100	782
2	r4.2xlarge	16	122000	19558	10	100000000	1	312
2	r4.2xlarge	16	122000	19558	10	100000000	1	314
2	r4.2xlarge	16	122000	19558	10	100000000	1	314
2	r4.2xlarge	16	122000	19558	10	100000000	1	314
2	r4.2xlarge	16	122000	19558	10	100000000	1	316
2	r4.2xlarge	16	122000	19558	10	100000000	25	426
2	r4.2xlarge	16	122000	19558	10	100000000	25	426
2	r4.2xlarge	16	122000	19558	10	100000000	25	428
2	r4.2xlarge	16	122000	19558	10	100000000	25	430
2	r4.2xlarge	16	122000	19558	10	100000000	25	434
2	r4.2xlarge	16	122000	19558	10	100000000	50	476
2	r4.2xlarge	16	122000	19558	10	100000000	50	478
2	r4.2xlarge	16	122000	19558	10	100000000	50	480
2	r4.2xlarge	16	122000	19558	10	100000000	50	482
2	r4.2xlarge	16	122000	19558	10	100000000	50	482
2	r4.2xlarge	16	122000	19558	10	100000000	100	474
2	r4.2xlarge	16	122000	19558	10	100000000	100	478
2	r4.2xlarge	16	122000	19558	10	100000000	100	478
2	r4.2xlarge	16	122000	19558	10	100000000	100	478
2	r4.2xlarge	16	122000	19558	10	100000000	100	488
2	r4.2xlarge	16	122000	24268	5	250000000	1	542
2	r4.2xlarge	16	122000	24268	5	250000000	1	544
2	r4.2xlarge	16	122000	24268	5	250000000	1	544
2	r4.2xlarge	16	122000	24268	5	250000000	1	546
2	r4.2xlarge	16	122000	24268	5	250000000	1	552
2	r4.2xlarge	16	122000	24268	5	250000000	25	2262
2	r4.2xlarge	16	122000	24268	5	250000000	25	2268
2	r4.2xlarge	16	122000	24268	5	250000000	25	2270
2	r4.2xlarge	16	122000	24268	5	250000000	25	2270
2	r4.2xlarge	16	122000	24268	5	250000000	25	2272
2	r4.2xlarge	16	122000	24268	5	250000000	50	3938
2	r4.2xlarge	16	122000	24268	5	250000000	50	3944
2	r4.2xlarge	16	122000	24268	5	250000000	50	3944
2	r4.2xlarge	16	122000	24268	5	250000000	50	3978
2	r4.2xlarge	16	122000	24268	5	250000000	50	4022
2	r4.2xlarge	16	122000	24268	5	250000000	100	3944
2	r4.2xlarge	16	122000	24268	5	250000000	100	3948
2	r4.2xlarge	16	122000	24268	5	250000000	100	3952
2	r4.2xlarge	16	122000	24268	5	250000000	100	3978
2	r4.2xlarge	16	122000	24268	5	250000000	100	4056
2	r4.2xlarge	16	122000	29081	5	300000000	1	808
2	r4.2xlarge	16	122000	29081	5	300000000	1	814
2	r4.2xlarge	16	122000	29081	5	300000000	1	816
2	r4.2xlarge	16	122000	29081	5	300000000	1	818
2	r4.2xlarge	16	122000	29081	5	300000000	1	824
2	r4.2xlarge	16	122000	29081	5	300000000	25	5792
2	r4.2xlarge	16	122000	29081	5	300000000	25	5822
2	r4.2xlarge	16	122000	29081	5	300000000	25	5830
2	r4.2xlarge	16	122000	29081	5	300000000	25	5852
2	r4.2xlarge	16	122000	29081	5	300000000	25	5872
2	r4.2xlarge	16	122000	29081	5	300000000	50	10746
2	r4.2xlarge	16	122000	29081	5	300000000	50	10902
2	r4.2xlarge	16	122000	29081	5	300000000	50	10900
2	r4.2xlarge	16	122000	29081	5	300000000	50	10914
2	r4.2xlarge	16	122000	29081	5	300000000	50	10914
2	r4.2xlarge	16	122000	29081	5	300000000	100	10749
2	r4.2xlarge	16	122000	29081	5	300000000	100	10892
2	r4.2xlarge	16	122000	29081	5	300000000	100	10901
2	r4.2xlarge	16	122000	29081	5	300000000	100	10915
2	r4.2xlarge	16	122000	29081	5	300000000	100	10913
2	r4.2xlarge	16	122000	29593	15	100000000	1	412
2	r4.2xlarge	16	122000	29593	15	100000000	1	412
2	r4.2xlarge	16	122000	29593	15	100000000	1	414
2	r4.2xlarge	16	122000	29593	15	100000000	1	414
2	r4.2xlarge	16	122000	29593	15	100000000	1	418
2	r4.2xlarge	16	122000	29593	15	100000000	25	536
2	r4.2xlarge	16	122000	29593	15	100000000	25	538
2	r4.2xlarge	16	122000	29593	15	100000000	25	538
2	r4.2xlarge	16	122000	29593	15	100000000	25	540
2	r4.2xlarge	16	122000	29593	15	100000000	25	540
2	r4.2xlarge	16	122000	29593	15	100000000	50	626
2	r4.2xlarge	16	122000	29593	15	100000000	50	626
2	r4.2xlarge	16	122000	29593	15	100000000	50	628
2	r4.2xlarge	16	122000	29593	15	100000000	50	630
2	r4.2xlarge	16	122000	29593	15	100000000	50	630
2	r4.2xlarge	16	122000	29593	15	100000000	100	628
2	r4.2xlarge	16	122000	29593	15	100000000	100	630
2	r4.2xlarge	16	122000	29593	15	100000000	100	630
